Years,050 National Defense:,051 Department of Defense-Military:,Military Personnel,Operation and Maintenance,Procurement,"Research, Development, Test, and Evaluation",Military Construction,Family Housing,Other,"051 Subtotal, Department of Defense-Military",053 Atomic energy defense activities,054 Defense-related activities,"Total, National Defense",150 International Affairs:,151 International development and humanitarian assistance,152 International security assistance,153 Conduct of foreign affairs,154 Foreign information and exchange activities,155 International financial programs,"Total, International Affairs","250 General Science, Space, and Technology:",251 General science and basic research,"252 Space flight, research, and supporting activities","Total, General Science, Space, and Technology",270 Energy:,271 Energy supply,272 Energy conservation,274 Emergency energy preparedness,"276 Energy information, policy, and regulation","Total, Energy",300 Natural Resources and Environment:,301 Water resources,302 Conservation and land management,303 Recreational resources,304 Pollution control and abatement,306 Other natural resources,"Total, Natural Resources and Environment",350 Agriculture:,351 Farm income stabilization,352 Agricultural research and services,"Total, Agriculture",370 Commerce and Housing Credit:,371 Mortgage credit,372 Postal service,(On-budget),(Off-budget),373 Deposit insurance,376 Other advancement of commerce,"Total, Commerce and Housing Credit",(On-budget),(Off-budget),400 Transportation:,401 Ground transportation,402 Air transportation,403 Water transportation,407 Other transportation,"Total, Transportation",450 Community and Regional Development:,451 Community development,452 Area and regional development,453 Disaster relief and insurance,"Total, Community and Regional Development","500 Education, Training, Employment, and Social Services:","501 Elementary, secondary, and vocational education",502 Higher education,503 Research and general education aids,504 Training and employment,505 Other labor services,506 Social services,"Total, Education, Training, Employment, and Social Services",550 Health:,551 Health care services,552 Health research and training,554 Consumer and occupational health and safety,"Total, Health",570 Medicare:,571 Medicare,600 Income Security:,601 General retirement and disability insurance (excluding social security),602 Federal employee retirement and disability,603 Unemployment compensation,604 Housing assistance,605 Food and nutrition assistance,609 Other income security,"Total, Income Security",650 Social Security:,651 Social security,(On-budget),(Off-budget),700 Veterans Benefits and Services:,701 Income security for veterans,"702 Veterans education, training, and rehabilitation",703 Hospital and medical care for veterans,704 Veterans housing,705 Other veterans benefits and services,"Total, Veterans Benefits and Services",750 Administration of Justice:,751 Federal law enforcement activities,752 Federal litigative and judicial activities,753 Federal correctional activities,754 Criminal justice assistance,"Total, Administration of Justice",800 General Government:,801 Legislative functions,802 Executive direction and management,803 Central fiscal operations,804 General property and records management,805 Central personnel management,806 General purpose fiscal assistance,808 Other general government,809 Deductions for offsetting receipts,"Total, General Government",900 Net Interest:,901 Interest on Treasury debt securities (gross),902 Interest received by on-budget trust funds,903 Interest received by off-budget trust funds,908 Other interest,(On-budget),(Off-budget),909 Other investment income,"Total, Net Interest",(On-budget),(Off-budget),920 Allowances:,922 Reductions for Joint Committee Enforcement (Nondefense),923 Infrastructure Initiative,924 Adjustment for Budget Control Act Caps (Non-Security),926 Spectrum relocation,927 Disability insurance reforms,"Total, Allowances",950 Undistributed Offsetting Receipts:,"951 Employer share, employee retirement (on-budget)","952 Employer share, employee retirement (off-budget)",953 Rents and royalties on the Outer Continental Shelf,954 Sale of major assets,959 Other undistributed offsetting receipts,"Total, Undistributed Offsetting Receipts",(On-budget),(Off-budget),Total budget authority,(On-budget),(Off-budget),N/A = Not available,On-budget unless otherwise stated,
1976,,,"32,912","28,731","20,991","9,451","2,360","1,229",-170,"95,503","1,682",146,"97,331",,"3,076","3,712",782,423,"6,063","14,057",,"1,039","3,227","4,266",,"14,008",79,431,651,"15,169",,"3,036",714,706,684,916,"6,055",,"3,833",927,"4,760",,"9,737","1,708","1,708",..........,..........,"1,082","12,528","12,528",..........,,"6,904","2,311","1,615",74,"10,905",,"2,764","2,604",335,"5,703",,"4,624","3,828",748,"7,264",329,"5,221","22,013",,"11,395","3,111",684,"15,190",,"15,785",,"3,534","16,092","15,006","19,421","7,737","12,434","74,224",,"74,535",515,"74,019",,"8,704","5,981","4,436",15,528,"19,664",,"1,668",726,208,810,"3,411",,780,71,"1,768",316,99,"9,751",470,-322,"12,932",,"37,076","-4,988","-2,812","-2,547","-2,547",..........,..........,"26,729","29,541","-2,812",,..........,..........,..........,..........,..........,..........,,"-10,761",-963,"-2,662",..........,..........,"-14,386","-13,423",-963,"420,870","350,626","70,244",,,
TQ,,,"8,495","7,591","4,135","2,406",76,278,-55,"22,925",459,31,"23,416",,319,589,362,103,"-1,043",331,,246,850,"1,095",,993,39,48,179,"1,259",,"1,079",137,146,168,243,"1,773",,463,234,697,,468,934,934,..........,..........,174,"1,576","1,576",..........,,"4,777","1,048",390,19,"6,234",,81,649,60,790,,"2,826",185,339,839,82,"1,207","5,480",,"2,794",601,181,"3,576",,"4,280",,"1,165","4,317","2,907",111,"1,966","3,217","13,684",,"20,019",..........,"20,019",,"2,154","1,153","1,092",3,125,"4,527",,438,187,55,205,884,,188,18,462,58,25,"3,470",177,-150,"4,248",,"8,104",-177,-93,-887,-887,..........,..........,"6,948","7,040",-93,,..........,..........,..........,..........,..........,..........,,"-2,646",-249,"-1,311",..........,..........,"-4,206","-3,957",-249,"96,610","76,933","19,677",,,
1977,,,"34,075","32,108","27,922","10,439","2,204","1,258",-99,"107,906","2,089",156,"110,150",,"3,550","3,954","1,054",400,-744,"8,214",,"1,136","3,498","4,634",,"4,934",242,445,711,"6,332",,"3,635","1,051","1,032","2,691","1,080","9,489",,"2,601","1,028","3,629",,"5,149","2,266","2,266",..........,..........,"1,403","8,818","8,818",..........,,"5,732","3,017","1,675",83,"10,507",,"3,689","9,235",684,"13,608",,"5,825","3,858","1,011","13,969",383,"5,446","30,493",,"13,403","3,502",773,"17,678",,"19,416",,"3,717","18,349","16,036","28,632","8,875","13,515","89,124",,"85,626",717,"84,909",,"9,467","3,956","5,074",14,542,"19,053",,"1,789",863,297,758,"3,706",,878,83,"1,912",350,109,"9,342",531,-256,"12,948",,"41,915","-5,488","-2,650","-3,875","-3,875",..........,..........,"29,901","32,551","-2,650",,..........,..........,..........,..........,..........,..........,,"-11,528",-977,"-2,374",..........,..........,"-14,879","-13,902",-977,"468,450","387,168","81,282",,,
1978,,,"35,724","34,734","29,529","11,371","1,641","1,346",186,"114,531","2,514",182,"117,227",,"4,183","4,577","1,241",451,"1,124","11,575",,"1,274","3,807","5,081",,"6,123",527,"3,175",841,"10,665",,"3,781","1,742","1,546","5,376","1,206","13,651",,"4,977","1,161","6,139",,"5,338","1,787","1,787",..........,-10,"1,643","8,759","8,759",..........,,"9,872","3,287","1,854",85,"15,098",,"4,403","3,524","3,246","11,173",,"6,146","4,523","1,140","4,802",440,"5,561","22,613",,"14,225","3,857",864,"18,945",,"22,826",,"3,723","20,577","10,749","32,305","9,017","13,027","89,398",,"94,453",741,"93,712",,"10,146","2,607","5,638",14,618,"19,023",,"2,008","1,029",308,654,"3,999",,913,79,"2,118",181,126,"10,454",618,-289,"14,200",,"48,712","-6,128","-2,403","-4,723","-4,723",..........,..........,"35,459","37,861","-2,403",,..........,..........,..........,..........,..........,..........,,"-12,401","-1,060","-2,259",..........,..........,"-15,720","-14,660","-1,060","504,565","414,316","90,250",,,
1979,,,"37,641","38,042","31,428","12,437","2,319","1,563",166,"123,595","2,668",204,"126,467",,"5,084","5,772","1,318",506,"-2,298","10,382",,"1,347","4,223","5,570",,"5,448",611,"3,008",777,"9,843",,"3,577","1,504","1,507","5,306","1,357","13,251",,"13,294","1,335","14,630",,"6,409","1,785","1,785",..........,..........,"1,758","9,953","9,953",..........,,"14,021","3,728","2,057",91,"19,897",,"4,775","4,082","2,266","11,123",,"7,047","5,854","1,249","11,739",522,"6,684","33,095",,"17,028","4,200",949,"22,177",,"26,657",,"5,326","23,215","10,848","24,789","10,566","13,592","88,335",,"104,994",761,"104,233",,"11,224","2,474","6,112",23,649,"20,481",,"2,189","1,190",339,656,"4,374",,932,84,"2,375",344,133,"8,282",493,-198,"12,445",,"59,855","-7,727","-2,224","-7,273","-7,273",..........,..........,"42,630","44,855","-2,224",,..........,..........,..........,..........,..........,..........,,"-13,095","-1,114","-3,267",..........,..........,"-17,476","-16,362","-1,114","558,829","457,934","100,895",,,
1980,,,"41,069","46,386","35,283","13,561","2,293","1,526",533,"140,651","2,991",217,"143,859",,"5,264","5,066","1,343",518,"5,761","17,952",,"1,460","4,790","6,250",,"40,640",738,"-2,000",943,"40,320",,"4,085","1,572","1,373","4,672","1,395","13,096",,"8,894","1,333","10,227",,"9,962","1,677","1,677",..........,"1,200","2,495","15,333","15,333",..........,,"15,278","3,915","2,192",97,"21,483",,"4,972","4,331","2,426","11,728",,"7,404","6,775","1,170","9,623",572,"6,143","31,689",,"18,480","4,565","1,000","24,045",,"32,237",,"5,446","27,340","17,927","27,941","13,775","17,915","110,344",,"119,955",677,"119,278",,"11,783","2,342","6,409",19,641,"21,194",,"2,342","1,370",320,498,"4,530",,"1,111",102,"2,667",293,145,"8,664",592,-351,"13,226",,"74,803","-9,707","-2,339","-10,220","-10,220",..........,..........,"52,538","54,877","-2,339",,..........,..........,..........,..........,..........,..........,,"-14,638","-1,204","-4,101",..........,..........,"-19,942","-18,738","-1,204","670,062","554,327","115,735",,,
1981,,,"48,462","55,479","48,025","16,609","3,380","2,004","2,141","176,100","3,651",251,"180,001",,"4,420","5,068","1,465",555,"15,844","27,352",,"1,535","5,108","6,643",,"7,165",700,"2,791","1,098","11,753",,"4,079","1,631",986,"2,982","1,494","11,171",,"11,864","1,473","13,336",,"9,208","1,343","1,343",..........,15,"2,187","12,754","12,754",..........,,"20,249","4,046","2,552",109,"26,957",,"4,783","4,373",810,"9,966",,"6,808","8,895","1,225","9,109",606,"5,693","32,336",,"21,520","4,422","1,082","27,024",,"39,148",,"5,557","32,007","19,748","26,934","16,576","20,206","121,028",,"141,076",672,"140,404",,"13,222","2,323","6,919",16,671,"23,150",,"2,561","1,484",352,169,"4,566",,"1,036",108,"2,809",409,162,"6,249",763,-222,"11,313",,"95,535","-11,523","-2,288","-12,958","-12,958",..........,..........,"68,767","71,055","-2,288",,..........,..........,..........,..........,..........,..........,,"-16,473","-1,430","-10,138",..........,..........,"-28,041","-26,611","-1,430","740,300","603,614","136,686",,,
1982,,,"55,704","62,461","64,462","20,060","4,916","2,203","1,680","211,486","4,737",323,"216,547",,"4,474","6,863","1,688",587,"4,612","18,224",,"1,535","5,684","7,218",,"7,856",168,"3,875",871,"12,770",,"3,913","1,154",968,"3,645","1,583","11,263",,"22,571","1,505","24,075",,"9,188",707,707,..........,36,"1,837","11,769","11,769",..........,,"17,697","3,747","2,931",88,"24,464",,"4,328","3,644",417,"8,390",,"6,341","8,012","1,173","4,386",600,"5,581","26,093",,"22,097","4,338","1,044","27,479",,"46,562",,"5,537","35,146","25,153","14,612","15,785","18,259","114,492",,"157,081",844,"156,238",,"14,522","1,934","7,802",17,687,"24,963",,"2,801","1,530",423,140,"4,894",,"1,175",95,"2,928",251,141,"6,389",542,-216,"11,305",,"117,227","-13,995","-2,071","-16,130","-16,130",..........,..........,"85,032","87,102","-2,071",,..........,..........,..........,..........,..........,..........,,"-18,203","-1,646","-6,250",..........,..........,"-26,099","-24,453","-1,646","806,522","654,001","152,521",,,
1983,,,"61,050","66,500","80,355","22,794","4,512","2,712",912,"238,834","5,718",491,"245,043",,"4,711","8,142","1,830",688,"-4,632","10,739",,"1,637","6,517","8,155",,"7,046",449,"2,316",871,"10,683",,"4,608","2,199","1,265","3,677","1,547","13,297",,"33,440","1,607","35,048",,"7,227",989,789,200,..........,"1,955","10,171","9,971",200,,"19,208","4,850","2,912",110,"27,080",,"5,398","4,104",480,"9,983",,"6,816","7,364","1,259","5,515",640,"6,009","27,602",,"19,228","4,743","1,083","25,053",,"52,591",,"5,520","37,578","30,576","10,502","18,204","21,561","123,941",,"171,737","20,753","150,984",,"14,229","1,640","8,816",-63,721,"25,341",,"3,212","1,702",468,137,"5,518",,"1,418",103,"3,395",450,142,"6,361",793,-636,"12,026",,"128,653","-15,257","-1,845","-21,742","-21,742",..........,..........,"89,808","91,653","-1,845",,..........,..........,..........,..........,..........,..........,,"-21,706","-1,778","-10,491",..........,..........,"-33,976","-32,198","-1,778","869,841","722,279","147,562",,,
1984,,,"64,866","70,912","86,161","26,864","4,510","2,669","2,127","258,108","6,555",494,"265,157",,"5,069","8,943","2,011",805,"7,718","24,547",,"1,957","6,858","8,815",,"5,348",455,"1,268",780,"7,851",,"3,781","1,749","1,086","4,037","1,622","12,276",,"9,895","1,753","11,648",,"8,349","1,798",879,919,"1,081","2,078","13,306","12,387",919,,"20,685","5,266","3,244",114,"29,309",,"4,818","3,824",257,"8,899",,"7,207","6,900","1,244","8,688",685,"6,228","30,952",,"25,240","5,233","1,156","31,629",,"57,835",,"5,334","38,898","20,669","12,675","18,285","22,274","118,134",,"178,793","7,083","171,710",,"14,896","1,556","9,078",214,738,"26,483",,"3,590","1,905",495,215,"6,205",,"1,443",111,"3,621",303,148,"6,795",489,-513,"12,399",,"153,866","-17,044","-3,310","-22,410","-22,410",..........,..........,"111,102","114,412","-3,310",,..........,..........,..........,..........,..........,..........,,"-23,219","-2,044","-6,694",..........,..........,"-31,957","-29,913","-2,044","923,384","756,109","167,275",,,
1985,,,"67,773","77,800","96,841","31,323","5,517","2,890","4,645","286,789","7,325",537,"294,651",,"6,496","13,730","2,496",947,"2,776","26,446",,"2,223","6,925","9,148",,"5,511",472,"2,056",642,"8,681",,"4,087","1,852","1,156","4,303","1,934","13,332",,"25,512","1,818","27,330",,"6,881","2,639","1,209","1,430",200,"2,496","12,217","10,787","1,430",,"20,318","6,011","3,105",126,"29,559",,"4,262","3,660",239,"8,162",,"7,926","9,705","1,337","5,422",716,"6,492","31,597",,"26,454","5,950","1,196","33,600",,"65,579",,"5,473","40,881","16,372","26,882","18,712","23,269","131,589",,"193,176","8,527","184,648",,"15,104","1,036","10,005",322,779,"27,246",,"3,879","2,204",599,220,"6,902",,"1,358",118,"3,854",400,149,"6,322",561,-506,"12,258",,"178,871","-21,838","-4,118","-23,437","-23,437",..........,..........,"129,479","133,597","-4,118",,..........,..........,..........,..........,..........,..........,,"-24,648","-2,509","-5,542",..........,..........,"-32,698","-30,189","-2,509","1,028,252","848,801","179,452",,,
1986,,,"67,794","74,883","92,506","33,605","5,281","2,803","4,525","281,398","7,287",460,"289,144",,"4,759","9,543","2,988",969,"-1,607","16,652",,"2,107","7,165","9,272",,"4,745",426,113,717,"6,002",,"3,678","1,776","1,099","3,399","1,761","11,713",,"28,015","1,741","29,756",,"3,666","2,504",716,"1,788","3,000","1,958","11,129","9,340","1,788",,"19,349","5,484","3,915",111,"28,859",,"3,725","2,684",475,"6,884",,"7,644","8,723","1,289","4,875",679,"6,322","29,533",,"29,416","6,057","1,157","36,631",,"71,202",,"5,711","42,865","17,030","11,646","18,853","24,931","121,037",,"196,642","4,861","191,782",,"15,378",575,"9,964",214,744,"26,875",,"3,897","2,190",595,265,"6,946",,"1,412",110,"4,032",418,136,"5,847",757,-78,"12,634",,"190,272","-26,628","-4,329","-23,285","-23,285",..........,..........,"136,030","140,359","-4,329",,..........,..........,..........,..........,..........,..........,,"-25,434","-2,857","-4,716",..........,..........,"-33,007","-30,150","-2,857","1,013,934","827,551","186,384",,,
1987,,,"74,010","79,566","80,231","35,639","5,093","3,075","1,802","279,417","7,478",529,"287,424",,"4,902","8,213","2,580","1,029","1,997","18,721",,"2,324","10,198","12,522",,"2,280",234,153,721,"3,388",,"4,107","2,152","1,245","5,296","1,770","14,570",,"23,344","1,910","25,254",,"3,449","2,944",650,"2,294","2,699","2,045","11,137","8,843","2,294",,"18,244","5,518","3,120",115,"26,996",,"3,818","2,620",210,"6,647",,"8,965","9,001","1,413","5,226",730,"6,849","32,183",,"32,880","7,187","1,250","41,317",,"75,105",,"5,373","44,545","16,980","9,868","19,618","26,147","122,531",,"208,392","4,930","203,461",,"15,408",362,"10,481",114,803,"27,169",,"4,908","2,680",867,502,"8,957",,"1,572",120,"4,761",225,141,"1,369",981,-623,"8,546",,"195,242","-29,614","-5,290","-21,732","-21,732",..........,..........,"138,606","143,897","-5,290",,..........,..........,..........,..........,..........,..........,,"-27,259","-3,300","-4,021","-1,875",..........,"-36,455","-33,155","-3,300","1,033,008","835,843","197,165",,,
1988,,,"76,584","81,589","80,053","36,517","5,349","3,199",418,"283,710","7,749",548,"292,007",,"5,022","8,598","2,628","1,054",-123,"17,179",,"2,521","8,322","10,843",,"3,807",310,609,620,"5,347",,"4,295","3,062","1,229","4,932","1,852","15,370",,"16,267","1,973","18,241",,"8,361","1,458",517,941,"10,835","2,411","23,066","22,124",941,,"18,267","6,906","2,861",107,"28,141",,"3,546","5,080",205,"8,830",,"9,502","8,932","1,470","5,327",778,"8,224","34,233",,"36,749","7,565","1,313","45,627",,"78,806",,"5,681","47,936","15,217","9,700","20,700","29,263","128,498",,"221,137","4,852","216,285",,"15,865",366,"10,836","1,497",798,"29,362",,"5,319","2,926","1,059",316,"9,620",,"1,602",128,"5,159",63,145,"1,963","1,803",-694,"10,170",,"214,047","-34,406","-7,416","-20,426","-20,426",..........,..........,"151,799","159,215","-7,416",,..........,..........,..........,..........,..........,..........,,"-29,037","-4,382","-3,548",..........,..........,"-36,967","-32,585","-4,382","1,091,310","885,881","205,429",,,
