2007,,,"131,754","240,243","133,776","77,549","13,974","4,005","1,649","602,950","17,181","5,692","625,823",,"16,269","10,581","9,537","1,266","30,727","68,380",,"9,799","15,581","25,380",,-803,828,169,460,654,,"7,971","9,343","3,109","7,690","5,619","33,732",,"18,299","4,485","22,784",,"-2,629",645,"-8,254","8,899",406,"11,612","10,034","1,135","8,899",,"50,598","19,399","8,315",370,"78,682",,"4,722","2,390","10,529","17,641",,"38,109","26,718","3,164","7,320","1,650","16,675","93,636",,"210,534","30,174","3,520","244,228",,"385,008",,"7,418","106,092","35,298","34,008","58,382","126,828","368,026",,"588,962","19,335","569,627",,"39,684","2,523","35,038",-886,"3,194","79,553",,"24,716","12,891","5,444","3,973","47,024",,"3,548",533,"10,651",486,203,"3,847","1,699","-2,346","18,621",,"429,966","-71,964","-106,003","-10,102","-10,102",..........,"-4,759","237,138","343,141","-106,003",,..........,..........,..........,..........,..........,..........,,"-49,476","-12,299","-6,763",..........,"-13,700","-82,238","-69,939","-12,299","2,863,068","2,402,844","460,224",,,
2008,,,"139,031","256,217","164,992","79,568","22,064","2,917","9,902","674,691","16,630","4,912","696,233",,"17,652","10,549","12,073","1,256","6,380","47,910",,"10,213","16,580","26,793",,"2,218","1,233",199,578,"4,228",,"10,912","9,587","3,352","7,547","5,758","37,156",,"12,835","4,614","17,449",,"198,423","4,186","-5,491","9,677","1,222","14,402","218,233","208,556","9,677",,"52,574","19,771","8,788",357,"81,490",,"18,502","3,119","19,890","41,511",,"37,218","24,626","3,342","7,310","1,534","17,314","91,344",,"251,630","30,199","3,435","285,264",,"406,561",,"7,545","110,902","45,630","35,295","60,791","166,009","426,172",,"619,667","17,841","601,826",,"42,305","2,824","39,056",-414,"4,540","88,311",,"27,786","12,972","5,660","3,516","49,934",,"3,639",508,"11,438",701,195,"4,050","1,463",-462,"21,532",,"451,143","-77,821","-113,718","-12,902","-12,902",..........,"6,027","252,729","366,447","-113,718",,..........,..........,..........,..........,..........,..........,,"-53,033","-13,145","-18,285",..........,"-1,779","-86,242","-73,097","-13,145","3,326,275","2,841,635","484,640",,,
2009,,,"149,290","271,562","135,439","80,004","26,814","3,853",552,"667,514","22,985","7,063","697,562",,"25,262","11,162","14,352","1,431","11,169","63,376",,"15,969","18,134","34,103",,"18,216","23,678",215,696,"42,805",,"19,065","12,075","4,226","14,955","7,071","57,392",,"19,155","4,981","24,136",,"197,364","5,296","-1,282","6,578","23,449","225,560","451,669","445,091","6,578",,"91,430","23,370","9,793",402,"124,995",,"8,289","8,061","7,599","23,949",,"115,195","12,092","3,899","11,840","1,749","22,780","167,555",,"327,095","42,496","4,025","373,616",,"436,987",,"14,583","119,515","127,635","106,393","83,561","158,884","610,571",,"689,801","35,002","654,799",,"44,747","3,766","43,683",-556,"5,308","96,948",,"29,257","14,239","6,177","7,863","57,536",,"4,102",559,"12,400","6,518",188,"4,100","3,354","-1,012","30,209",,"383,073","-63,600","-117,954","-14,964","-14,964",..........,349,"186,904","304,858","-117,954",,..........,..........,..........,..........,..........,..........,,"-56,431","-14,226","-5,292",..........,"-16,690","-92,639","-78,413","-14,226","4,077,475","3,548,278","529,197",,,
2010,,,"157,102","293,632","135,822","80,232","22,578","2,268","4,012","695,646","18,228","7,314","721,188",,"25,222","14,095","15,820","1,580","3,878","60,595",,"11,860","18,228","30,088",,"5,776","1,105",255,601,"7,737",,"6,813","11,933","3,809","10,473","6,629","39,657",,"14,227","5,620","19,847",,"-22,500",-681,"-5,381","4,700","-8,255","-87,556","-118,992","-123,692","4,700",,"67,858","21,693","10,142",396,"100,089",,"6,121","3,156","11,937","21,214",,"50,520","12,558","3,812","8,528","1,872","17,865","95,155",,"369,259","32,268","4,685","406,212",,"452,618",,"7,921","122,102","166,191","53,778","95,415","178,635","624,042",,"706,829","22,921","683,908",,"62,282","8,593","47,057",570,"5,942","124,444",,"30,436","14,913","6,205","4,601","56,155",,"4,237",590,"12,697",698,203,"5,224","1,717","-1,721","23,645",,"413,934","-67,268","-118,502","-29,540","-29,540",..........,"-2,431","196,193","314,695","-118,502",,..........,..........,..........,..........,..........,..........,,"-62,100","-14,936","-4,883",..........,-197,"-82,116","-67,180","-14,936","3,484,600","2,929,430","555,170",,,
2011,,,"158,389","305,237","131,899","76,688","15,991","1,832","1,435","691,471","18,529","7,035","717,035",,"21,658","12,466","14,029","1,552","3,884","53,589",,"11,740","17,913","29,653",,"5,908",232,135,437,"6,712",,"6,146","10,926","3,550","8,548","6,186","35,356",,"17,003","4,507","21,510",,"-5,043","1,097",101,996,"-6,600","-43,664","-54,210","-55,206",996,,"53,692","21,901","10,527",391,"86,511",,"5,888","2,760","6,607","15,255",,"39,889","5,939","3,567","7,307","1,896","17,941","76,539",,"322,458","32,797","4,468","359,723",,"502,275",,"7,988","122,868","119,282","44,166","105,049","184,319","583,672",,"731,730","101,909","629,821",,"55,019","10,396","50,343","1,285","6,081","123,124",,"28,380","15,065","6,381","3,753","53,579",,"4,108",530,"12,583",-612,198,"7,657","2,839","-1,479","25,824",,"453,987","-72,030","-115,981","-35,363","-35,363",..........,-142,"230,471","346,452","-115,981",,..........,..........,..........,..........,..........,..........,,"-64,581","-15,099","-6,383","-2,404",..........,"-88,467","-73,368","-15,099","3,509,881","3,010,144","499,737",,,
2012,,,"158,352","286,775","118,321","72,033","11,368","1,690","6,858","655,397","18,305","7,721","681,423",,"22,312","14,124","16,298","1,546","39,059","93,339",,"12,027","17,200","29,227",,"7,739",-183,-297,486,"7,745",,"7,939","10,505","3,476","8,647","6,392","36,959",,"16,217","4,643","20,860",,"-28,078","2,329",74,"2,255",51,"38,104","12,406","10,151","2,255",,"56,266","21,998","9,958",406,"88,628",,"4,652","3,149","10,703","18,504",,"39,421","20,383","3,511","8,110","1,918","18,310","91,653",,"324,586","32,655","4,656","361,897",,"484,282",,"8,061","128,418","93,602","40,128","115,139","163,512","548,860",,"777,604","140,363","637,241",,"52,256","12,195","52,553","1,414","6,106","124,524",,"27,734","17,677","6,597","3,319","55,327",,"3,953",489,"12,430",-471,199,"7,908","4,043","-2,012","26,539",,"359,219","-14,753","-112,393","-8,615","-8,615",..........,"-3,537","219,921","332,314","-112,393",,..........,..........,..........,..........,..........,..........,,"-68,347","-15,592","-6,605","-12,992",..........,"-103,536","-87,944","-15,592","3,576,162","3,064,651","511,511",,,
2013,,,"153,531","258,277","97,757","63,347","8,069","1,483","2,775","585,239","17,485","7,433","610,157",,"23,625","12,598","15,118","1,445","-12,233","40,553",,"11,614","16,350","27,964",,"7,747",96,100,502,"8,445",,"11,087","10,639","3,824","8,499","6,989","41,038",,"23,144","4,292","27,436",,"-38,596",74,74,..........,183,"1,834","-36,505","-36,505",..........,,"66,815","20,744","9,886",415,"97,860",,"19,543","2,343","29,180","51,066",,"38,189","2,464","3,349","7,331","1,813","18,024","71,170",,"303,786","31,116","4,072","338,974",,"507,813",,"8,521","133,610","70,817","39,503","112,049","169,129","533,629",,"816,453","55,865","760,588",,"62,524","11,274","54,629","1,336","6,789","136,552",,"27,217","14,930","6,525","2,987","51,659",,"3,699",471,"11,771",-871,194,"7,807","5,613","-2,692","25,992",,"415,651","-51,015","-105,650","-35,043","-35,043",..........,"-3,048","220,895","326,545","-105,650",,..........,..........,..........,..........,..........,..........,,"-65,155","-16,168","-8,874","-2,588",..........,"-92,785","-76,617","-16,168","3,478,366","2,839,596","638,770",,,
2014,,,"150,188","262,459","100,412","63,483","8,394","1,416","9,371","595,723","18,404","8,157","622,284",,"23,759","11,650","13,825","1,489","6,766","57,489",,"12,362","17,081","29,443",,"6,350","1,043","-2,546",586,"5,433",,"7,059","11,594","3,848","8,343","6,877","37,721",,"19,556","4,905","24,461",,"-76,003",75,78,-3,1,"8,269","-67,658","-67,655",-3,,"55,563","21,344","9,706",426,"87,039",,"4,271","2,972","9,289","16,532",,"39,287","17,194","3,447","7,369","1,856","18,644","87,797",,"379,795","32,020","4,767","416,582",,"527,580",,"8,612","136,821","44,194","42,842","115,485","178,034","525,988",,"854,238","25,819","828,419",,"72,424","13,310","71,191","2,145","7,162","166,232",,"27,824","17,769","6,859","3,231","55,683",,"3,878",498,"12,118","2,355",204,"7,769","4,268",127,"31,217",,"429,538","-57,848","-100,266","-39,888","-39,888",..........,"-2,568","228,968","329,234","-100,266",,..........,..........,..........,..........,..........,..........,,"-63,612","-15,737","-7,474",..........,"-1,221","-88,044","-72,307","-15,737","3,618,985","2,906,572","712,413",,,
2015,,,"145,858","246,575","102,108","63,872","5,654","1,140","5,636","570,843","19,018","8,530","598,391",,"26,152","12,246","14,234","1,515","9,111","63,258",,"12,552","17,370","29,922",,"4,538","1,142",202,512,"6,394",,"6,753","9,470","3,919","8,113","7,420","35,675",,"11,186","5,756","16,942",,"-22,592",100,100,..........,2,"20,298","-2,192","-2,192",..........,,"55,468","19,922","9,614",432,"85,436",,"4,212","2,876","10,364","17,452",,"39,215","49,438","3,486","6,900","1,887","18,691","119,617",,"458,954","32,503","4,620","496,077",,"547,592",,"8,816","140,226","34,853","42,801","111,319","177,621","515,636",,"892,006","30,939","861,067",,"79,966","15,147","57,719",745,"7,392","160,969",,"34,126","14,405","6,915","4,937","60,383",,"3,905",511,"11,868",-75,205,"7,124","2,995","-4,786","21,747",,"402,429","-45,823","-95,968","-37,766","-37,766",..........,324,"223,196","319,164","-95,968",,..........,..........,..........,..........,..........,..........,,"-65,112","-16,008","-4,555",..........,"-30,128","-115,803","-99,795","-16,008","3,772,698","3,023,607","749,091",,,
2016,,,"145,447","245,147","118,894","69,544","6,927","1,254","8,502","595,715","20,118","8,284","624,117",,"25,788","11,879","14,917","1,563","-3,683","50,464",,"12,953","18,651","31,604",,"3,342","1,221",220,548,"5,331",,"7,326","14,478","4,137","8,202","7,387","41,530",,"32,443","5,100","37,543",,"-9,681",360,96,264,516,"15,805","7,000","6,736",264,,"58,589","20,512","10,696",451,"90,248",,"5,019","2,631","10,313","17,963",,"40,494","37,814","3,627","7,170","1,926","19,521","110,552",,"476,766","34,459","4,822","516,047",,"604,450",,"9,008","141,549","35,429","44,718","110,922","182,855","524,481",,"920,079","32,469","887,610",,"77,699","14,423","63,053",808,"7,873","163,856",,"27,146","14,704","7,479","7,234","56,563",,"3,967",523,"12,138",925,233,"7,283","5,299","-4,046","26,322",,"429,950","-55,536","-90,575","-41,859","-41,859",..........,"-1,947","240,033","330,608","-90,575",,..........,..........,..........,..........,..........,..........,,"-67,096","-16,936","-2,783",..........,"-8,436","-95,251","-78,315","-16,936","3,972,932","3,192,569","780,363",,,
2017,,,"146,144","258,708","124,339","74,129","6,893","1,316","14,701","626,230","21,367","8,742","656,339",,"28,779","12,451","16,153","1,640","7,663","66,686",,"13,022","19,182","32,204",,"4,393","1,195",-219,523,"5,892",,"8,557","16,080","4,205","8,168","7,405","44,415",,"8,979","5,221","14,200",,"-31,600",305,35,270,2,"17,075","-14,218","-14,488",270,,"61,109","20,655","10,097",469,"92,330",,"13,842","3,333","25,975","43,150",,"40,285","75,324","3,725","7,431","1,899","19,718","148,382",,"514,177","36,459","5,328","555,964",,"607,068",,"9,289","142,989","32,724","45,821","108,438","174,907","514,168",,"946,159","37,396","908,763",,"86,897","16,441","68,178",-540,"8,280","179,256",,"30,991","15,780","7,136","11,805","65,712",,"4,052",541,"12,210",-929,235,"6,888","3,934","-3,538","23,393",,"456,921","-60,543","-86,512","-44,029","-44,029",..........,"-3,302","262,535","349,047","-86,512",,..........,..........,..........,..........,..........,..........,,"-67,471","-17,499","-3,106",..........,"-1,750","-89,826","-72,327","-17,499","4,153,809","3,348,787","805,022",,,
2018,,,"150,854","274,088","147,487","91,957","10,372","1,424","18,343","694,525","23,329","8,992","726,846",,"28,206","11,717","14,417","1,667","24,243","80,250",,"14,244","20,129","34,373",,"4,512","1,435",-549,609,"6,007",,"26,240","16,120","4,843","8,733","7,933","63,869",,"7,286","7,790","15,076",,"-12,941",318,58,260,2,"24,095","11,474","11,214",260,,"68,778","22,377","12,975",493,"104,623",,"32,653","5,373","62,497","100,523",,"44,593","27,891","3,910","7,733","1,921","21,544","107,592",,"550,445","39,286","4,536","594,267",,"606,339",,"9,113","146,631","30,594","50,069","105,702","171,095","513,204",,"989,656","35,753","953,903",,"90,899","13,678","80,693","-1,261","8,383","192,392",,"35,551","15,975","7,326","7,540","66,392",,"4,322",520,"12,625",-232,245,"7,419","2,686","-1,845","25,740",,"521,553","-66,343","-83,809","-44,431","-44,431",..........,"-1,985","324,985","408,794","-83,809",,..........,..........,..........,..........,..........,..........,,"-69,188","-18,193","-4,592",..........,"-5,896","-97,869","-79,676","-18,193","4,465,739","3,613,578","852,161",,,
2019 estimate,,,"158,640","279,707","147,555","95,507","9,689","1,605",369,"693,072","24,023","9,128","726,223",,"27,978","11,590","14,382","1,665","19,792","75,407",,"14,401","20,052","34,453",,"4,675","1,468",-503,563,"6,203",,"8,631","12,644","4,546","8,772","7,687","42,280",,"29,855","5,690","35,545",,"-26,176",318,58,260,"1,690","26,519","2,351","2,091",260,,"68,203","22,110","12,408",492,"103,213",,"6,335","5,041","12,269","23,645",,"42,517","66,126","3,925","7,420","1,910","21,032","142,930",,"552,001","41,211","5,097","598,309",,"695,294",,"9,242","150,411","29,438","50,072","103,834","197,399","540,396",,"1,052,541","36,326","1,016,215",,"101,451","9,823","78,277","-3,104","8,391","194,838",,"33,565","15,189","7,276","7,308","63,338",,"4,381",519,"12,578",-502,246,"8,947","3,248","-1,594","27,823",,"593,100","-66,138","-82,743","-49,858","-49,858",..........,-863,"393,498","476,241","-82,743",,..........,..........,-998,164,..........,-834,,"-72,332","-18,040","-5,429",..........,"-1,140","-96,941","-78,901","-18,040","4,660,512","3,744,820","915,692",,,
2020 estimate,,,"165,127","293,816","143,377","104,508","19,763","1,325",54,"727,970","24,802","9,010","761,782",,"17,555","11,635","12,704","1,013","8,078","50,985",,"12,708","20,353","33,061",,754,"-4,140",-281,578,"-3,089",,"6,283","17,163","4,210","6,052","6,136","39,844",,"15,461","5,545","21,006",,"-23,996",320,53,267,"4,109","26,342","6,775","6,508",267,,"57,841","20,386","11,229",477,"89,933",,971,"3,298","23,716","27,985",,"37,712","36,238","2,916","6,349","1,867","17,662","102,744",,"560,680","34,975","5,462","601,117",,"705,797",,"9,497","155,626","30,769","44,646","81,560","195,439","517,537",,"1,112,651","39,764","1,072,887",,"109,647","14,087","84,409",-272,"8,651","216,522",,"41,127","16,254","6,656","4,637","68,674",,"4,788",414,"13,144","10,633",241,"8,696","2,881","-1,598","39,199",,"679,707","-65,797","-81,619","-52,615","-52,615",..........,-864,"478,812","560,431","-81,619",,"-5,843","190,000","-1,052",164,100,"183,369",,"-83,709","-18,194","-5,351",..........,"-3,120","-110,374","-92,180","-18,194","4,944,330","3,970,989","973,341",,,
2021 estimate,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"723,818","25,380","9,295","758,493",,"17,544","11,628","12,703","1,012","8,100","50,987",,"12,678","20,353","33,031",,"-6,214",193,-444,578,"-5,887",,"6,062","13,553","4,167","6,263","6,130","36,175",,"13,972","3,469","17,441",,"-24,354","-1,673","-1,940",267,"6,712","18,229","-1,086","-1,353",267,,"65,674","19,090","11,298",477,"96,539",,961,"3,381","11,822","16,164",,"37,713","35,574","2,830","6,379","1,864","17,454","101,814",,"623,049","34,005","5,456","662,510",,"717,738",,"9,778","161,373","32,314","44,678","83,834","191,616","523,593",,"1,176,542","43,528","1,133,014",,"116,734","12,581","96,293",-250,"8,648","234,006",,"42,647","16,475","7,161","4,724","71,007",,"4,809",414,"13,784",586,109,"8,349","2,881","-1,641","29,291",,"753,613","-69,601","-80,594","-55,044","-55,044",..........,-870,"547,504","628,098","-80,594",,"-2,959",..........,"-51,993",..........,-400,"-55,352",,"-77,185","-18,754","-5,286",..........,-600,"-101,825","-83,071","-18,754","4,908,685","3,874,752","1,033,933",,,
2022 estimate,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"737,232","25,792","9,326","772,350",,"17,673","11,653","12,703","1,013","5,756","48,798",,"12,678","20,353","33,031",,474,193,"-1,076",583,174,,"5,940","13,323","4,190","6,244","6,131","35,828",,"14,712","3,487","18,199",,"-24,654","-1,673","-1,940",267,"9,482","16,739",-106,-373,267,,"65,674","18,650","11,386",477,"96,187",,961,"3,392","11,845","16,198",,"37,713","32,624","2,800","6,421","1,864","17,539","98,961",,"604,739","33,820","5,436","643,995",,"806,536",,"9,687","166,648","34,606","44,678","84,949","200,310","540,878",,"1,245,423","47,421","1,198,002",,"125,069","15,351","96,275",-243,"8,648","245,100",,"43,924","16,490","7,161","4,724","72,299",,"4,810",414,"14,411",586,108,"9,108","2,883","-1,686","30,634",,"825,437","-77,961","-78,040","-58,714","-58,714",..........,-839,"609,883","687,923","-78,040",,"-3,739",..........,"-64,896",..........,-700,"-69,335",,"-76,797","-19,464","-6,193",..........,"-1,080","-103,534","-84,070","-19,464","5,141,499","4,040,734","1,100,765",,,
2023 estimate,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"751,674","26,117","12,388","790,179",,"17,675","11,653","12,703","1,013","5,024","48,068",,"12,678","20,353","33,031",,364,193,"-1,957",583,-817,,"6,064","13,244","4,218","6,251","6,131","35,908",,"13,903","3,521","17,424",,"-24,865","-2,742","-3,009",267,"12,402","15,218",13,-254,267,,"65,674","18,545","11,472",477,"96,168",,961,"3,403","11,829","16,193",,"37,713","29,474","2,801","6,424","1,864","17,626","95,902",,"624,915","34,389","5,437","664,741",,"828,813",,"9,841","171,947","37,008","44,678","87,063","201,101","551,638",,"1,318,855","51,503","1,267,352",,"133,667","15,969","96,156",-239,"8,649","254,202",,"45,555","16,506","7,161","4,724","73,946",,"4,811",414,"15,047",588,108,"8,412","2,885","-1,654","30,611",,"885,745","-82,628","-76,729","-61,892","-61,892",..........,-805,"663,691","740,420","-76,729",,"-3,806",..........,"-77,849",..........,"-1,000","-82,655",,"-75,361","-19,976","-5,890",..........,-570,"-101,797","-81,821","-19,976","5,334,114","4,163,200","1,170,914",,,
2024 estimate,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"756,927","26,605","12,706","796,238",,"17,688","11,653","12,703","1,013","5,920","48,977",,"12,678","20,353","33,031",,-48,193,"-2,584",583,"-1,856",,"6,064","12,975","4,254","6,313","6,130","35,736",,"13,457","3,470","16,927",,"-24,480","-2,952","-3,219",267,"15,467","14,696","2,731","2,464",267,,"65,674","18,440","11,566",477,"96,157",,961,"3,406","11,805","16,172",,"37,713","26,827","2,799","6,428","1,864","17,714","93,345",,"630,126","33,729","5,436","669,291",,"846,888",,"10,003","177,598","39,017","44,678","88,197","199,325","558,818",,"1,396,553","55,929","1,340,624",,"142,428","16,565","96,044",-239,"8,648","263,446",,"46,962","16,523","7,161","4,724","75,370",,"4,811",414,"15,701",588,109,"8,404","2,650","-1,627","31,050",,"932,220","-89,650","-74,754","-65,343","-65,343",..........,-779,"701,694","776,448","-74,754",,"-4,002",..........,"-90,349",82,"-1,000","-95,269",,"-75,140","-20,509","-6,154",..........,-625,"-102,428","-81,919","-20,509","5,482,871","4,237,243","1,245,628",,,