Years,Legislative Branch,Judicial Branch,Department of Agriculture,Department of Commerce,Department of Defense--Military Programs,Department of Education,Department of Energy,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,Department of the Interior,Department of Justice,Department of Labor,Department of State,Department of Transportation,Department of the Treasury,Department of Veterans Affairs,Corps of Engineers--Civil Works,Other Defense Civil Programs,Environmental Protection Agency,Executive Office of the President,General Services Administration,International Assistance Programs,National Aeronautics and Space Administration,National Science Foundation,Office of Personnel Management,Small Business Administration,Social Security Administration (On-Budget),Social Security Administration (Off-Budget),Other Independent Agencies (On-Budget),Other Independent Agencies (Off-Budget),Allowances,Total discretionary budget authority,
1976,934,346,"4,527","1,737","95,740","8,249","5,260","8,005","2,094","21,551","2,858","2,049","7,821","1,191","4,627","4,316","4,920","2,177",64,772,70,282,"6,023","3,552",715,134,621,485,"1,086","5,563",..........,..........,"197,766",
TQ,226,87,"1,026",358,"22,965","3,015","1,400","1,664",529,167,"1,006",532,"1,103",456,783,"1,903","1,213",659,13,189,18,55,938,932,168,34,31,126,279,"2,707",..........,..........,"44,583",
1977,"1,055",429,"5,246","7,820","108,146","9,674","7,653","9,048","2,479","33,057","4,026","2,185","15,046","1,471","4,229","3,793","5,600","2,481",36,"2,764",79,339,"6,820","3,876",776,147,"1,068",526,"1,181","5,769",..........,..........,"246,819",
1978,"1,077",453,"5,781","1,897","114,688","10,097","11,274","10,274","3,000","37,320","4,837","2,192","5,934","1,725","4,880","4,480","6,237","2,778",35,"5,499",78,168,"8,314","4,244",863,152,"3,555",573,"1,292","6,243",..........,..........,"259,940",
1979,"1,114",514,"6,132","2,092","124,052","11,650","10,867","11,023","3,133","30,218","5,019","2,291","13,054","1,982","7,201","3,157","6,743","2,782",38,"5,403",83,361,"10,461","4,743",911,159,"2,081",603,"1,365","6,780",..........,..........,"276,016",
1980,"1,297",600,"6,693","2,619","141,346","11,717","6,778","13,640","3,977","33,326","4,950","2,234","11,220","2,282","8,367","16,289","7,026","3,249",57,"4,669",101,326,"9,623","5,350",987,164,"2,145",658,"1,451","8,096",..........,..........,"311,237",
1981,"1,226",647,"7,504","2,080","176,598","11,409","13,437","14,206","3,665","31,543","4,781","2,063","10,830","2,449","11,260","2,032","7,568","3,093",61,"3,026",104,394,"13,799","5,634","1,022",170,"1,355",719,"1,635","6,649",..........,..........,"340,959",
1982,"1,379",723,"6,955","1,840","212,203","10,689","12,985","13,896","4,229","18,839","4,499","2,278","6,479","2,631","11,197","3,202","8,464","2,990",60,"3,676",93,306,"10,489","6,200",996,139,748,780,"1,905","4,697",..........,..........,"355,567",
1983,"1,634",811,"8,008","1,984","238,854","11,265","12,638","14,697","4,399","15,802","5,240","2,643","8,065","2,789","8,972","3,614","9,508","3,412",68,"3,689",102,445,"12,065","7,065","1,094",140,"1,278",846,"2,120","5,035",..........,..........,"388,278",
1984,"1,629",891,"8,234","2,048","258,622","12,046","12,667","15,555","4,764","16,702","5,116","3,058","11,222","3,025","8,091","3,894","9,927","2,681",79,"4,067",110,344,"20,597","7,458","1,323",149,971,905,"2,080","5,393",..........,..........,"423,645",
1985,"1,550","1,040","9,095","2,323","287,090","14,057","14,104","16,601","4,714","17,026","5,459","3,309","7,709","3,636","8,598","4,457","10,764","2,891",89,"4,354",116,370,"18,232","7,573","1,502",149,"1,254",939,"2,110","5,481",..........,..........,"456,592",
1986,"1,580","1,031","8,537","2,111","281,980","13,388","11,797","16,495","4,724","14,889","4,682","3,341","7,173","4,110","7,425","4,376","10,716","2,726",98,"3,462",108,387,"14,690","7,807","1,458",140,714,985,"2,193","4,778",..........,..........,"437,903",
1987,"1,748","1,260","8,785","2,194","280,079","15,538","11,544","18,132","5,338","12,870","5,196","4,378","7,716","3,841","7,483","4,429","11,282","3,126",117,"5,364",119,198,"13,617","10,923","1,623",152,604,972,"2,147","4,988",..........,..........,"445,764",
1988,"1,776","1,330","9,096","2,465","284,334","16,235","12,982","19,349","5,393","12,700","5,321","4,686","7,906","3,909","7,614","5,685","11,611","3,247",97,"5,027",126,37,"12,873","9,061","1,717",160,418,"1,119","2,257","4,719",..........,..........,"453,251",
1989,"1,840","1,349","10,103","2,769","291,435","17,138","13,425","20,710","6,975","12,399","5,605","5,447","7,970","4,176","8,174","5,851","12,331","3,236",107,"5,155",131,69,"12,246","10,872","1,922",175,419,"1,090","2,121","5,839",..........,..........,"471,081",
1990,"1,987","1,584","10,881","3,638","293,784","18,738","16,011","22,941","7,373","14,454","6,453","7,458","8,415","4,417","10,036","6,152","13,005","3,182",112,"5,491",179,"2,173","13,539","12,222","2,084",202,928,"1,090","2,223","5,955",..........,..........,"496,704",
1991,"2,218","1,911","11,699","2,690","319,660","21,184","18,070","26,657","6,480","23,301","6,957","7,337","9,025","4,947","10,310","6,716","14,087","3,302",108,"6,094",184,"1,942","14,262","14,015","2,316",201,464,"1,415","2,399","6,148",..........,..........,"546,099",
1992,"2,337","2,207","15,376","3,082","286,359","22,869","19,024","28,747","11,157","22,838","7,139","8,253","10,034","5,832","11,209","7,328","15,260","3,656",115,"6,645",202,300,"12,616","14,316","2,573",211,"1,577","1,321","2,540","6,269",..........,..........,"531,392",
1993,"2,313","2,367","15,507","3,221","262,551","23,853","19,253","30,134","9,010","24,170","7,047","8,676","9,954","6,194","10,430","7,691","16,194","3,842",120,"6,923",237,535,"24,512","14,309","2,734",242,925,"1,476","2,640","6,234",..........,..........,"523,297",
1994,"2,302","2,510","16,717","3,898","250,403","24,709","18,718","32,958","12,430","24,049","7,457","8,729","10,630","6,662","11,396","7,976","17,151","3,915",117,"6,645",236,545,"11,459","14,568","3,018",233,"1,894","1,781","2,828","6,659",..........,..........,"512,592",
1995,"2,395","2,659","15,423","4,090","252,407","24,664","17,164","33,311","11,140","19,566","7,224","11,289","9,378","5,742","8,083","8,127","17,577","3,330",114,"5,971",184,77,"11,840","13,853","3,227",218,792,"2,390","2,325","6,862",..........,..........,"501,422",
1996,"2,158","2,803","15,200","3,664","253,739","21,698","16,407","33,161","11,314","20,252","7,057","13,333","9,366","5,431","9,523","7,930","17,757","3,362",114,"6,525",204,85,"10,695","13,885","3,219",193,815,"1,892","3,135","6,042",..........,..........,"500,959",
1997,"2,246","3,004","15,553","3,821","253,987","26,637","16,521","34,398","13,369","15,042","7,326","14,800","10,250","5,530","10,361","7,735","18,865","4,110",113,"6,800",217,366,"10,598","13,709","3,271",194,854,"2,147","3,451","5,933",..........,..........,"511,208",
1998,"2,320","3,195","15,665","4,167","259,826","29,752","16,793","37,112","11,096","19,744","8,064","15,681","10,705","5,584","9,648","8,614","18,895","4,171",131,"7,366",246,-131,"11,385","13,648","3,431",191,716,"2,272","3,195","6,154",..........,..........,"529,636",
1999,"2,626","3,397","16,316","5,381","274,680","28,766","17,759","41,436","13,241","22,163","7,964","16,217","10,979","8,320","10,449","9,372","19,213","4,093",135,"7,590",428,298,"30,956","13,654","3,675",188,830,"2,333","3,144","6,236",..........,..........,"581,839",
2000,"2,531","3,669","16,951","8,667","287,280","29,362","17,745","45,366","14,537","21,111","8,462","16,117","8,761","7,776","10,416","9,241","20,850","4,119",134,"7,572",272,-284,"13,628","13,601","3,912",198,892,"2,458","3,195","5,809",..........,..........,"584,348",
2001,"2,849","3,991","19,226","5,097","316,289","40,103","20,030","54,152","16,048","28,357","10,268","18,400","11,958","7,774","14,682","10,342","22,375","4,687",141,"7,835","3,826",198,"12,590","14,253","4,431",206,"1,000","2,600","3,430","6,683",..........,..........,"663,820",
2002,"3,311","4,422","20,132","5,442","344,407","49,505","21,318","61,098","30,003","31,419","10,539","19,677","12,320","9,385","15,684","10,545","23,940","4,649",154,"8,080",330,260,"13,649","14,892","4,823",229,912,"2,878","3,504","7,273",..........,..........,"734,780",
2003,"3,553","4,628","22,388","5,641","437,495","53,112","22,195","65,825","30,759","30,092","10,579","19,484","11,834","9,689","13,501","10,678","26,506","4,699",161,"8,084","2,569","1,329","18,675","15,390","5,323",239,761,"2,880","3,798","7,580",..........,..........,"849,448",
2004,"3,580","4,837","21,492","5,775","468,475","55,650","23,353","69,151","31,228","32,034","10,796","19,622","11,790","11,359","13,864","10,670","29,113","4,563",164,"8,368","18,763",64,"16,796","15,378","5,590",269,787,"3,040","4,133","7,750",..........,..........,"908,454",
2005,"3,689","5,090","22,448","6,371","478,911","57,179","24,341","69,445","99,081","33,503","10,883","20,717","12,037","14,180","15,510","10,989","32,193","5,450",175,"8,029",406,340,"18,180","16,197","5,482",278,"1,539","3,042","4,436","7,383",..........,..........,"987,504",
2006,"3,865","5,358","22,518","6,626","534,514","58,429","23,560","74,804","14,874","51,147","11,200","21,425","11,472","14,708","18,074","11,418","34,098","11,926",405,"7,640",344,755,"18,756","16,658","5,590",284,"2,234","2,821","4,595","6,595",..........,..........,"996,694",
2007,"3,920","5,590","25,306","6,580","600,941","57,843","23,744","70,763","39,445","37,044","11,024","22,975","11,682","16,400","15,750","11,479","38,148","6,996",153,"7,726",336,164,"20,149","16,284","5,923",295,573,"2,997","4,683","7,132",234,..........,"1,072,278",
2008,"4,047","5,838","26,118","7,882","665,965","57,227","24,085","72,233","50,005","47,149","11,634","23,564","11,768","22,113","16,572","12,189","43,636","9,013",166,"7,463",292,328,"18,420","17,213","6,094",300,"1,635","3,064","5,015","8,383",237,..........,"1,179,648",
2009,"4,571","6,080","32,201","17,297","666,398","155,408","70,633","110,544","45,318","53,699","14,287","30,110","17,698","26,380","67,912","12,942","49,202","16,499",198,"14,853",375,"6,420","24,254","18,784","9,492",224,"1,345","4,332","5,297","9,024",253,..........,"1,492,030",
2010,"4,754","6,437","27,632","13,409","690,469","64,132","24,974","84,573","45,537","42,898","12,158","27,906","13,550","29,369","21,780","13,431","53,078","5,739",281,"10,257",433,277,"24,854","18,725","6,873",243,"1,786","3,483","5,811","9,156",258,..........,"1,264,263",
2011,"4,609","6,474","23,164","5,629","687,025","68,346","25,693","77,276","42,138","37,144","11,684","26,990","12,456","26,153","16,931","13,449","56,434","4,946",220,"8,681",385,-990,"22,032","18,447","6,806",203,729,"3,471","5,638","8,294",258,..........,"1,220,715",
2012,"4,407","6,528","24,098","7,929","645,500","67,386","26,357","78,339","46,517","36,420","11,324","26,905","13,239","29,073","19,498","13,140","58,658","6,814",229,"8,450",385,-807,"24,059","17,769","7,032",238,918,"3,650","5,815","7,511",255,..........,"1,197,636",
2013,"4,127","6,196","23,187","7,643","577,469","65,708","24,723","74,626","55,833","38,040","11,654","25,399","11,861","28,679","29,419","12,299","61,309","9,940",303,"8,471",365,"-1,215","22,399","16,880","6,884",227,"1,754","3,637","5,385","6,764",255,..........,"1,140,221",
2014,"4,334","6,511","24,258","8,301","581,456","67,303","27,163","79,845","45,612","34,232","11,714","27,313","12,043","27,604","17,780","12,663","63,341","5,665",222,"8,200",389,"2,027","21,604","17,647","7,172",243,929,"4,989","4,871","8,012",254,..........,"1,133,697",
2015,"4,369","6,690","25,029","8,584","560,442","66,947","27,388","83,421","46,535","30,384","12,173","26,294","11,946","28,305","17,905","12,215","65,100","5,567",217,"8,140",401,-386,"23,927","18,010","7,344",243,887,"4,686","5,422","8,224",259,..........,"1,116,668",
2016,"4,440","6,773","25,798","9,280","580,290","68,307","29,705","85,849","47,893","36,483","13,238","28,750","12,171","28,663","18,573","12,635","70,871","6,102",274,"8,139",397,631,"23,963","19,285","7,463",274,871,"4,776","5,674","8,876",264,..........,"1,166,708",
2017,"4,563","6,919","25,161","9,343","605,941","66,927","30,179","88,382","56,669","43,674","13,473","28,359","12,010","30,759","20,857","12,704","74,379","7,178",234,"8,180",412,"-1,229","25,874","19,838","7,472",292,"1,282","5,110","5,720","9,056",270,..........,"1,219,988",
2018,"4,835","7,102","30,297","12,277","670,710","73,320","34,556","100,108","98,911","71,390","14,422","30,136","12,337","28,921","29,110","12,851","81,545","24,281",414,"8,900",413,-474,"24,422","20,819","7,784",292,"2,357","4,534","6,028","9,971",260,..........,"1,422,829",
2019 estimate,"4,922","7,102","26,137","12,140","684,991","70,498","35,534","101,688","55,480","45,122","14,487","22,848","12,077","28,872","27,280","11,932","86,614","6,999",306,"8,823",412,-724,"24,351","20,737","7,767",292,701,"4,409","6,075","9,504",260,-904,"1,336,732",
2020 estimate,"5,384","7,615","22,774","12,169","718,349","62,003","26,846","69,853","71,097","37,578","12,763","29,225","10,907","20,702","21,423","13,061","93,079","4,827",235,"6,069",398,799,"21,971","21,020","7,065",..........,665,"4,529","5,593","5,550",267,"-1,042","1,312,774",
2021 estimate,"5,386","7,615","22,461","7,918","713,465","64,004","32,893","89,941","59,965","37,585","12,810","30,495","10,937","20,702","21,718","13,756","104,963","4,827",236,"6,297",398,617,"21,903","21,020","7,066",..........,665,"4,510","5,596","5,872",267,"-51,583","1,284,305",
2022 estimate,"5,386","7,615","22,461","7,411","726,996","64,004","33,325","90,041","60,922","37,585","12,807","30,614","10,989","20,702","21,725","14,428","104,945","4,827",236,"6,297",398,617,"21,887","21,020","7,068",..........,665,"4,524","5,613","5,878",267,"-64,637","1,286,616",
2023 estimate,"5,386","7,615","22,461","7,294","741,549","64,004","33,682","90,658","62,617","37,585","12,802","30,734","11,117","20,702","21,731","15,055","104,826","4,827",237,"6,297",398,617,"21,875","21,020","7,070",..........,665,"4,594","5,601","5,896",267,"-74,670","1,294,512",
2024 estimate,"5,386","7,615","22,461","7,210","746,720","64,004","34,195","90,009","64,085","37,605","12,803","30,857","11,294","20,702","21,738","15,717","104,714","4,827",237,"6,297",398,617,"21,864","21,020","7,071",..........,665,"4,659","5,596","5,898",267,"-87,002","1,289,529",