Department or other unit,Legislative Branch,Judicial Branch,Department of Agriculture,Department of Commerce,Department of Defense--Military Programs,Department of Education,Department of Energy,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,Department of the Interior,Department of Justice,Department of Labor,Department of State,Department of Transportation,Department of the Treasury,Department of Veterans Affairs,Corps of Engineers--Civil Works,Other Defense Civil Programs,Environmental Protection Agency,Executive Office of the President,General Services Administration,International Assistance Programs,National Aeronautics and Space Administration,National Science Foundation,Office of Personnel Management,Small Business Administration,Social Security Administration (On-Budget),Social Security Administration (Off-Budget),Other Independent Agencies (On-Budget),Other Independent Agencies (Off-Budget),Allowances,Undistributed Offsetting Receipts,(On-budget),(Off-budget),Total outlays,* 0.05 percent or less
1962,0.2,0.1,6.0,0.2,46.9,0.8,2.6,3.3,0.5,0.8,0.6,0.2,3.7,0.4,3.6,7.9,5.2,0.9,0.9,0.1,*,0.4,3.0,1.2,0.2,1.0,0.2,..........,13.4,2.1,..........,..........,-6.3,-5.5,-0.8,100.0,
1963,0.2,0.1,6.7,0.3,45.9,0.9,2.4,3.7,0.6,-0.5,0.7,0.2,3.2,0.5,3.7,8.6,4.9,1.0,1.0,0.1,*,0.4,2.8,2.3,0.2,1.1,0.1,..........,14.2,1.5,..........,..........,-6.5,-5.8,-0.7,100.0,
1964,0.2,0.1,6.4,0.6,44.4,0.8,2.3,3.9,0.6,0.1,0.6,0.2,2.9,0.4,4.0,8.7,4.8,0.9,1.1,0.1,*,0.4,2.7,3.5,0.3,1.1,0.1,..........,14.0,1.0,..........,..........,-6.2,-5.4,-0.7,100.0,
1965,0.2,0.1,5.9,0.6,41.3,1.0,2.2,4.0,0.7,0.4,0.6,0.3,2.6,0.5,4.4,9.1,4.8,1.0,1.2,0.1,*,0.5,2.7,4.3,0.3,1.2,0.2,..........,14.8,1.5,..........,..........,-6.5,-5.7,-0.8,100.0,
1966,0.2,0.1,4.2,0.4,42.1,1.8,1.7,4.2,0.5,1.8,0.6,0.2,2.4,0.5,3.8,8.7,4.4,0.9,1.2,0.1,*,0.4,2.4,4.4,0.3,1.3,0.2,..........,15.4,1.9,..........,..........,-6.3,-5.5,-0.7,100.0,
1967,0.2,0.1,3.8,0.3,44.5,2.3,1.4,6.1,0.5,2.0,0.5,0.2,2.3,0.4,3.3,8.1,4.2,0.8,1.2,0.1,*,0.4,2.1,3.4,0.3,1.2,0.1,0.1,13.7,2.3,..........,..........,-6.1,-5.3,-0.8,100.0,
1968,0.2,0.1,4.2,0.3,45.1,2.3,1.4,7.3,0.5,2.1,0.5,0.2,2.3,0.4,3.1,8.0,3.9,0.7,1.2,0.1,*,0.3,1.6,2.7,0.3,1.2,0.2,0.1,13.3,2.4,..........,..........,-6.0,-5.2,-0.8,100.0,
1969,0.2,0.1,4.6,0.3,44.0,2.2,1.3,8.4,0.6,0.4,0.6,0.2,2.3,0.3,3.1,9.0,4.2,0.7,1.4,0.2,*,0.3,1.5,2.3,0.3,1.2,0.1,0.2,14.6,1.6,..........,..........,-6.0,-5.1,-0.9,100.0,
1970,0.2,0.1,4.3,0.4,41.0,2.3,1.2,8.9,0.6,1.2,0.6,0.3,2.5,0.3,3.1,9.7,4.4,0.6,1.5,0.2,*,0.3,1.4,1.9,0.2,1.4,0.1,0.2,15.2,2.2,..........,..........,-6.4,-5.3,-1.1,100.0,
1971,0.2,0.1,4.1,0.4,36.9,2.4,1.0,9.7,0.5,1.3,0.6,0.4,4.0,0.3,3.3,9.7,4.6,0.6,1.7,0.3,*,0.3,1.4,1.6,0.2,1.5,0.2,0.2,16.8,2.5,..........,..........,-7.1,-5.8,-1.2,100.0,
1972,0.2,0.1,4.8,0.4,33.7,2.4,1.0,11.0,0.6,1.6,0.7,0.5,4.5,0.3,3.1,9.3,4.6,0.6,1.7,0.3,*,0.3,1.3,1.5,0.2,1.6,0.2,0.2,17.2,2.2,0.2,..........,-6.4,-5.2,-1.2,100.0,
1973,0.2,0.1,4.1,0.4,30.5,2.3,0.9,10.4,0.7,1.5,0.7,0.6,3.9,0.3,3.2,12.3,4.9,0.7,1.8,0.5,*,0.3,0.9,1.3,0.2,1.9,0.5,0.2,19.8,2.2,0.1,..........,-7.7,-6.5,-1.2,100.0,
1974,0.2,0.1,3.8,0.4,28.9,2.1,0.8,10.4,0.6,1.8,0.7,0.6,3.7,0.4,2.9,13.1,5.0,0.6,1.9,0.8,*,0.3,1.1,1.2,0.2,2.1,0.3,1.0,20.6,2.6,0.3,..........,-8.7,-7.4,-1.2,100.0,
1975,0.2,0.1,4.7,0.3,25.5,2.2,1.0,10.2,0.6,2.3,0.7,0.6,5.6,0.3,2.8,12.6,5.0,0.6,1.9,0.8,*,0.1,1.1,1.0,0.2,2.1,0.2,1.6,19.3,2.6,0.3,..........,-6.4,-5.3,-1.1,100.0,
1976,0.2,0.1,4.8,0.4,23.6,2.1,1.0,10.8,0.7,1.9,0.7,0.6,7.1,0.4,3.1,11.7,5.0,0.6,2.0,0.8,*,-*,1.0,1.0,0.2,2.2,0.2,1.5,19.7,2.3,0.3,..........,-6.0,-5.0,-1.0,100.0,
TQ,0.2,0.1,5.2,0.4,22.7,2.1,1.1,11.0,0.7,1.4,0.9,0.6,6.4,0.4,3.0,10.7,4.1,0.6,2.0,1.2,*,*,1.4,1.0,0.2,2.5,0.1,1.3,20.6,3.4,-0.8,..........,-4.7,-4.3,-0.4,100.0,
1977,0.2,0.1,5.7,0.5,23.3,2.1,1.2,11.4,0.7,1.4,0.8,0.5,5.7,0.4,2.9,11.7,4.4,0.6,2.0,1.1,*,*,0.9,1.0,0.2,2.4,0.2,1.5,20.6,2.3,-*,..........,-5.6,-4.7,-0.9,100.0,
1978,0.2,0.1,6.6,1.0,22.3,2.1,1.4,11.3,0.7,1.7,0.8,0.5,5.2,0.4,2.8,11.8,4.1,0.6,2.0,0.9,*,*,1.1,0.9,0.2,2.4,0.6,1.4,20.3,2.0,-0.1,..........,-5.3,-4.5,-0.8,100.0,
1979,0.2,0.1,6.3,0.7,22.5,2.4,1.5,11.5,0.7,1.8,0.8,0.5,4.7,0.4,2.9,12.7,3.9,0.6,2.0,1.0,*,*,0.7,0.9,0.2,2.5,0.3,1.2,20.5,2.0,-0.2,..........,-5.4,-4.8,-0.7,100.0,
1980,0.2,0.1,5.9,0.5,22.2,2.5,1.2,11.6,0.7,2.2,0.8,0.4,5.2,0.4,3.1,12.8,3.6,0.5,2.0,0.9,*,0.1,1.3,0.8,0.2,2.5,0.3,1.2,19.9,2.4,-0.1,..........,-5.4,-4.8,-0.6,100.0,
1981,0.2,0.1,6.1,0.3,22.7,2.5,1.7,11.9,0.6,2.2,0.7,0.4,4.6,0.3,3.1,13.5,3.4,0.5,2.0,0.8,*,0.1,1.2,0.8,0.1,2.7,0.3,1.2,20.5,1.7,*,..........,-6.2,-5.6,-0.5,100.0,
1982,0.2,0.1,6.1,0.3,24.2,2.0,1.6,11.9,0.5,2.0,0.5,0.3,4.2,0.4,2.4,14.7,3.2,0.4,2.0,0.7,*,0.1,1.1,0.8,0.1,2.7,0.1,1.1,20.8,1.2,-0.1,..........,-5.7,-5.2,-0.5,100.0,
1983,0.2,0.1,6.5,0.2,25.3,1.8,1.3,11.8,0.6,2.0,0.6,0.3,4.8,0.3,2.3,14.3,3.1,0.4,2.0,0.5,*,0.1,1.0,0.8,0.1,2.6,0.1,3.7,18.6,1.1,*,..........,-6.3,-5.9,-0.4,100.0,
1984,0.2,0.1,4.9,0.2,25.9,1.8,1.3,12.0,0.6,2.0,0.6,0.3,3.0,0.4,2.4,16.4,3.0,0.4,1.9,0.5,*,0.1,1.3,0.8,0.1,2.7,0.1,2.1,20.1,1.0,*,..........,-6.1,-5.5,-0.6,100.0,
1985,0.2,0.1,5.9,0.2,25.9,1.8,1.1,12.1,0.5,3.0,0.5,0.3,2.6,0.3,2.4,17.3,2.8,0.3,1.7,0.5,*,*,1.3,0.8,0.1,2.5,0.1,1.8,19.4,0.7,*,..........,-6.2,-5.5,-0.7,100.0,
1986,0.2,0.1,5.9,0.2,26.8,1.8,1.1,12.4,0.5,1.4,0.5,0.3,2.5,0.4,2.5,18.0,2.7,0.3,1.8,0.5,*,0.1,1.1,0.7,0.2,2.4,0.1,2.0,19.3,0.9,*,..........,-6.6,-5.8,-0.7,100.0,
1987,0.2,0.1,4.9,0.2,27.3,1.7,1.1,13.1,0.5,1.5,0.5,0.4,2.4,0.4,2.3,17.8,2.7,0.3,1.8,0.5,*,*,1.0,0.8,0.2,2.7,-*,1.6,20.2,1.0,0.1,..........,-7.2,-6.3,-0.9,100.0,
1988,0.2,0.1,4.1,0.2,26.5,1.7,1.0,13.2,0.6,1.8,0.5,0.4,2.1,0.4,2.2,18.8,2.7,0.3,1.8,0.5,*,-*,0.7,0.9,0.2,2.7,-*,1.7,20.2,1.8,0.2,..........,-7.4,-6.3,-1.1,100.0,
1989,0.2,0.1,4.2,0.2,25.8,1.9,1.0,13.3,0.5,1.7,0.5,0.5,2.2,0.4,2.1,19.9,2.6,0.3,1.8,0.4,*,-*,0.4,1.0,0.2,2.5,*,1.6,19.9,2.7,-*,..........,-7.8,-6.4,-1.4,100.0,
1990,0.2,0.1,3.7,0.3,23.1,1.8,1.0,14.0,0.6,1.6,0.5,0.5,2.1,0.4,2.0,20.3,2.3,0.3,1.7,0.4,*,-*,0.8,1.0,0.1,2.5,0.1,1.4,19.6,5.5,0.1,..........,-7.9,-6.2,-1.7,100.0,
1991,0.2,0.2,4.1,0.2,19.8,1.9,0.9,15.0,0.5,1.7,0.5,0.6,2.6,0.4,2.1,20.7,2.4,0.3,1.8,0.4,*,*,0.9,1.0,0.2,2.6,*,1.4,20.1,5.8,0.1,..........,-8.3,-6.3,-2.0,100.0,
1992,0.2,0.2,4.1,0.2,20.7,1.9,1.1,16.8,0.5,1.8,0.5,0.7,3.5,0.4,2.1,21.1,2.5,0.3,1.8,0.4,*,*,0.8,1.0,0.2,2.6,*,1.8,20.4,1.0,*,..........,-8.5,-6.3,-2.2,100.0,
1993,0.2,0.2,4.5,0.2,19.8,2.1,1.2,18.0,0.7,1.8,0.5,0.7,3.2,0.5,2.2,21.1,2.5,0.2,1.8,0.4,*,0.1,0.8,1.0,0.2,2.6,0.1,2.0,21.2,-1.2,0.1,..........,-8.5,-6.1,-2.4,100.0,
1994,0.2,0.2,4.1,0.2,18.4,1.7,1.2,19.1,0.7,1.8,0.5,0.6,2.6,0.5,2.3,20.9,2.6,0.2,1.8,0.4,*,*,0.7,0.9,0.2,2.6,0.1,2.1,21.5,0.2,0.1,..........,-8.4,-6.0,-2.4,100.0,
1995,0.2,0.2,3.7,0.2,17.1,2.1,1.2,20.0,0.6,1.9,0.5,0.7,2.2,0.4,2.3,22.9,2.5,0.2,1.8,0.4,*,*,0.7,0.9,0.2,2.7,*,2.0,21.8,-0.4,-0.1,..........,-9.1,-6.5,-2.6,100.0,
1996,0.1,0.2,3.5,0.2,16.2,1.9,1.0,20.5,0.6,1.6,0.4,0.7,2.1,0.4,2.3,23.3,2.4,0.2,1.9,0.4,*,*,0.6,0.9,0.2,2.7,0.1,2.0,22.0,0.2,-*,..........,-8.7,-5.9,-2.7,100.0,
1997,0.1,0.2,3.3,0.2,16.1,1.9,0.9,21.2,0.7,1.7,0.4,0.8,1.9,0.4,2.3,23.6,2.5,0.2,1.9,0.4,*,0.1,0.6,0.9,0.2,2.8,*,2.1,22.4,-0.2,-*,..........,-9.7,-6.7,-3.0,100.0,
1998,0.2,0.2,3.3,0.2,15.5,1.9,0.9,21.2,0.6,1.8,0.4,0.8,1.9,0.3,2.2,23.5,2.5,0.2,1.9,0.4,*,*,0.5,0.9,0.2,2.8,-*,2.3,22.4,0.7,*,..........,-9.7,-6.5,-3.2,100.0,
1999,0.2,0.2,3.7,0.3,15.3,1.8,0.9,21.1,0.8,1.9,0.5,1.0,1.9,0.4,2.2,22.6,2.5,0.2,1.9,0.4,*,-*,0.6,0.8,0.2,2.8,*,2.4,22.3,0.4,0.1,..........,-9.3,-5.9,-3.5,100.0,
2000,0.2,0.2,4.2,0.4,15.7,1.9,0.8,21.4,0.7,1.7,0.4,0.9,1.8,0.4,2.3,21.8,2.6,0.2,1.8,0.4,*,*,0.7,0.8,0.2,2.7,-*,2.5,22.1,0.5,0.1,..........,-9.7,-5.9,-3.8,100.0,
2001,0.2,0.2,3.7,0.3,15.6,1.9,0.9,22.9,0.8,1.8,0.4,1.0,2.1,0.4,2.6,20.8,2.4,0.2,1.8,0.4,*,-*,0.6,0.8,0.2,2.7,-*,2.1,22.6,0.6,0.1,..........,-10.3,-6.1,-4.1,100.0,
2002,0.2,0.2,3.4,0.3,16.5,2.3,0.9,23.1,0.9,1.6,0.5,1.1,3.2,0.5,2.8,18.5,2.5,0.2,1.7,0.4,*,-*,0.7,0.7,0.2,2.6,*,2.3,22.0,0.8,-*,..........,-10.0,-5.7,-4.3,100.0,
2003,0.2,0.2,3.4,0.3,18.0,2.6,0.9,23.4,1.5,1.7,0.4,1.0,3.2,0.4,2.4,17.0,2.6,0.2,1.8,0.4,*,*,0.6,0.7,0.2,2.5,0.1,2.1,21.4,0.7,-0.2,..........,-9.7,-5.4,-4.3,100.0,
2004,0.2,0.2,3.1,0.3,19.1,2.7,0.9,23.7,1.2,2.0,0.4,1.3,2.5,0.5,2.4,16.4,2.6,0.2,1.8,0.4,0.1,-*,0.6,0.7,0.2,2.5,0.2,2.1,21.0,0.4,-0.2,..........,-9.3,-5.0,-4.3,100.0,
2005,0.2,0.2,3.5,0.2,19.2,2.9,0.9,23.5,1.6,1.7,0.4,0.9,1.9,0.5,2.3,16.6,2.8,0.2,1.8,0.3,0.3,*,0.6,0.6,0.2,2.4,0.1,2.2,20.5,0.7,-0.1,..........,-9.2,-5.0,-4.2,100.0,
2006,0.2,0.2,3.5,0.2,18.8,3.5,0.7,23.1,2.6,1.6,0.3,0.9,1.6,0.5,2.3,17.5,2.6,0.3,1.7,0.3,0.2,*,0.5,0.6,0.2,2.4,*,2.0,20.1,0.5,-*,..........,-8.9,-4.8,-4.1,100.0,
2007,0.2,0.2,3.1,0.2,19.4,2.4,0.7,24.6,1.4,1.7,0.4,0.9,1.7,0.5,2.3,18.0,2.7,0.1,1.7,0.3,0.1,*,0.5,0.6,0.2,2.1,*,2.0,20.8,0.5,0.2,..........,-9.5,-5.2,-4.3,100.0,
2008,0.1,0.2,3.0,0.3,19.9,2.2,0.7,23.5,1.4,1.6,0.3,0.9,2.0,0.6,2.2,18.4,2.8,0.2,1.5,0.3,*,*,0.4,0.6,0.2,2.2,*,2.0,20.1,1.6,0.1,..........,-9.3,-5.1,-4.3,100.0,
2009,0.1,0.2,3.3,0.3,18.1,1.5,0.7,22.6,1.5,1.7,0.3,0.8,3.9,0.6,2.1,19.9,2.7,0.2,1.6,0.2,*,*,0.4,0.5,0.2,2.1,0.1,2.2,18.4,1.4,*,..........,-7.8,-4.0,-3.8,100.0,
2010,0.2,0.2,3.7,0.4,19.3,2.7,0.9,24.7,1.3,1.7,0.4,0.9,5.0,0.7,2.2,12.9,3.1,0.3,1.6,0.3,*,*,0.6,0.5,0.2,2.0,0.2,2.0,19.8,-0.2,0.1,..........,-7.7,-3.9,-3.9,100.0,
2011,0.1,0.2,3.9,0.3,18.8,1.8,0.9,24.7,1.3,1.6,0.4,0.8,3.7,0.7,2.1,15.0,3.5,0.3,1.5,0.3,*,0.1,0.6,0.5,0.2,2.1,0.2,4.3,17.5,0.5,*,..........,-7.7,-4.0,-3.6,100.0,
2012,0.1,0.2,4.0,0.3,18.5,1.6,0.9,24.0,1.3,1.4,0.4,0.9,3.0,0.8,2.1,13.2,3.5,0.2,2.2,0.4,*,*,0.3,0.5,0.2,2.3,0.1,5.3,17.9,0.9,0.1,..........,-6.5,-2.9,-3.6,100.0,
2013,0.1,0.2,4.5,0.3,17.6,1.2,0.7,25.7,1.7,1.6,0.3,0.9,2.3,0.8,2.2,11.6,4.0,0.2,1.6,0.3,*,-*,0.6,0.5,0.2,2.4,*,3.2,21.9,0.8,-0.1,..........,-7.2,-3.7,-3.5,100.0,
2014,0.1,0.2,4.0,0.2,16.5,1.7,0.7,26.7,1.2,1.1,0.3,0.8,1.6,0.8,2.2,12.7,4.3,0.2,1.6,0.3,*,-*,0.5,0.5,0.2,2.5,*,2.3,23.5,0.3,-0.1,..........,-7.0,-3.7,-3.3,100.0,
2015,0.1,0.2,3.8,0.2,15.2,2.4,0.7,27.8,1.2,1.0,0.3,0.7,1.2,0.7,2.0,13.2,4.3,0.2,1.7,0.2,*,-*,0.7,0.5,0.2,2.5,-*,2.4,23.2,0.4,-*,..........,-7.0,-3.9,-3.0,100.0,
2016,0.1,0.2,3.6,0.2,14.7,2.0,0.7,28.6,1.2,0.7,0.3,0.8,1.1,0.8,2.0,13.7,4.5,0.2,1.7,0.2,*,-*,0.4,0.5,0.2,2.4,-*,2.4,22.9,0.3,-*,..........,-6.3,-3.5,-2.8,100.0,
2017,0.1,0.2,3.2,0.3,14.3,2.8,0.6,28.0,1.3,1.4,0.3,0.8,1.0,0.7,2.0,13.7,4.4,0.2,1.5,0.2,*,-*,0.5,0.5,0.2,2.4,*,2.3,22.8,0.4,-0.1,..........,-5.9,-3.3,-2.6,100.0,
2018,0.1,0.2,3.3,0.2,14.6,1.6,0.6,27.3,1.7,1.3,0.3,0.8,1.0,0.6,1.9,15.3,4.3,0.1,1.3,0.2,*,-*,0.5,0.5,0.2,2.4,*,2.1,23.2,0.3,-*,..........,-6.0,-3.6,-2.5,100.0,
2019 estimate,0.1,0.2,3.4,0.3,14.4,2.4,0.7,27.2,1.4,0.7,0.3,0.9,0.8,0.7,1.8,15.7,4.4,0.2,1.4,0.2,*,-*,0.5,0.5,0.2,2.3,*,2.1,22.3,0.6,-*,..........,-5.4,-3.2,-2.2,100.0,
2020 estimate,0.1,0.2,2.5,0.4,14.8,1.7,0.7,27.1,1.3,1.1,0.3,0.8,0.8,0.5,1.8,16.7,4.6,0.2,1.3,0.1,*,2.3,0.6,0.5,0.2,..........,*,2.1,22.5,0.5,*,-0.1,-5.4,-3.3,-2.1,100.0,
2021 estimate,0.1,0.2,2.4,0.2,14.7,1.5,0.6,25.9,1.2,1.0,0.3,0.7,0.8,0.5,1.8,17.3,4.7,0.2,1.3,0.1,*,2.2,0.5,0.4,0.2,..........,*,2.1,22.8,0.4,*,1.1,-5.1,-3.1,-2.0,100.0,
2022 estimate,0.1,0.2,2.3,0.2,14.2,1.4,0.6,26.3,1.2,0.9,0.3,0.7,0.8,0.5,1.4,17.9,4.9,0.2,1.4,0.1,*,2.2,0.5,0.4,0.2,..........,*,2.2,23.0,0.5,*,0.7,-5.0,-3.1,-1.9,100.0,
2023 estimate,0.1,0.2,2.2,0.1,13.9,1.3,0.5,26.3,1.2,0.8,0.3,0.6,0.8,0.4,1.3,18.5,4.7,0.2,1.3,0.1,*,2.1,0.5,0.4,0.1,..........,*,2.1,23.7,0.6,*,0.6,-4.9,-3.1,-1.8,100.0,
2024 estimate,0.1,0.2,2.2,0.1,13.7,1.2,0.5,26.2,1.2,0.7,0.3,0.6,0.9,0.4,1.3,18.9,4.6,0.2,1.2,0.1,*,2.1,0.4,0.4,0.1,..........,*,2.1,24.5,0.6,*,0.2,-4.9,-3.1,-1.7,100.0,